inspection_id,dba_name,aka_name,license_,facility_type,risk,address,city,state,zip,inspection_date,inspection_type,results,latitude,longitude
58236,THE DINING ROOM AT KENDALL NFP,THE DINING ROOM,1979756,Restaurant,Risk 1 (High),900 N NORTH BRANCH ST,CHICAGO,IL,60642,2010-01-07,Canvass,Pass,41.89896533484934,-87.64809026360946
67978,RED SHIELD,RED SHIELD,1697428,Daycare Above and Under 2 Years,Risk 1 (High),945 W 69TH ST,CHICAGO,IL,60621,2010-01-21,Canvass,Pass,41.76866571454341,-87.64870343827774
67991,EL NUEVO MEXICANO,EL NUEVO MEXICANO,1525,Restaurant,Risk 1 (High),2914 N CLARK ST,CHICAGO,IL,60657,2010-01-11,Canvass,Fail,41.9351819008089,-87.64698740774581
67992,EL NUEVO MEXICANO,EL NUEVO MEXICANO,1525,Restaurant,Risk 1 (High),2914 N CLARK ST,CHICAGO,IL,60657,2010-01-19,Canvass Re-Inspection,Pass,41.9351819008089,-87.64698740774581
68174,MCDONALD' S # 5618,MCDONALD' S # 5618,1960250,Restaurant,Risk 2 (Medium),3620 N CLARK ST,CHICAGO,IL,60613,2010-02-05,Suspected Food Poisoning,Pass w/ Conditions,41.94771192275855,-87.65709387286819
68272,DE ARCOS PIZZA & RESTAURANT,DE ARCOS PIZZA & RESTAURANT,1577283,Restaurant,Risk 1 (High),2832 E 87TH ST,CHICAGO,IL,60617,2010-01-22,Tag Removal,Pass,41.737446792721215,-87.55503911795913
68347,SUBWAY,SUBWAY,1621492,Restaurant,Risk 1 (High),1936 E 95TH ST,CHICAGO,IL,60617,2010-03-22,Suspected Food Poisoning,Pass,41.722565784499146,-87.57634459660001
68348,SUBWAY,SUBWAY,1621492,Restaurant,Risk 1 (High),1936 E 95TH ST,CHICAGO,IL,60617,2010-03-22,Suspected Food Poisoning,Pass,41.722565784499146,-87.57634459660001
68441,QODESH EDUCATIONAL INSTITUTE,QODESH EDUCATIONAL INSTITUTE,1224477,Daycare (Under 2 Years),Risk 1 (High),2534-38 E 83RD ST,CHICAGO,IL,60617,2010-06-03,License,Fail,41.74462004665804,-87.56233480378744
72250,MCDONALD'S RESTAURANT,MCDONALD'S,1986407,Restaurant,Risk 2 (Medium),1831 W DEVON AVE,CHICAGO,IL,60660,2010-01-27,License Re-Inspection,Pass,41.99785643742185,-87.67642502602074
72258,ALL AMERICAN NURSING HOME,ALL AMERICAN NURSING HOME,3727,Long Term Care,Risk 1 (High),5448 N BROADWAY,CHICAGO,IL,60640,2010-02-25,Canvass,Pass,41.98142065521809,-87.66015557403873
78338,YU'S CHINESE KITCHEN,YU'S CHINESE KITCHEN,1998519,Restaurant,Risk 1 (High),6319 S DR. MARTIN LUTHER KING JR DR,CHICAGO,IL,60637,2010-03-09,Canvass,Pass,41.779555319953104,-87.61546236652772
78346,"PROGRESSIVE HOUSING, INC.","PROGRESSIVE HOUSING, INC.",1965133,Long Term Care,Risk 1 (High),7270 S SOUTH SHORE DR,CHICAGO,IL,60649,2010-03-11,Canvass Re-Inspection,Pass,41.76405322482226,-87.56078336305504
80249,"BROADWAY GRILL, INC.",BROADWAY GRILL,1620335,Restaurant,Risk 1 (High),4800 N BROADWAY,CHICAGO,IL,60640,2010-02-23,Complaint,Pass w/ Conditions,41.96908331914566,-87.65981945361588
88218,MAYNE/ACT ONE CAFE,MAYNE/ACT ONE,2003847,Restaurant,Risk 2 (Medium),1328-1330 W MORSE AVE,CHICAGO,IL,60626,2010-01-14,License,Fail,42.008037223103784,-87.66489552129833
88223,ASPIRA HAUGAN,ASPIRA HAUGAN MIDDLE SCHOOL,66351,School,Risk 1 (High),3729 W LELAND AVE,CHICAGO,IL,60625,2010-01-20,Canvass,Pass,41.96637821294302,-87.72182580739543
88243,STAR GRILL,STAR GRILL,1958656,Restaurant,Risk 1 (High),1215 W DEVON AVE,CHICAGO,IL,60660,2010-02-04,Complaint,Pass,41.99807133298725,-87.66123148104344
88254,ben tre cafe,ben tre cafe,2003718,Restaurant,Risk 1 (High),3146 W touhy BLDG,CHICAGO,IL,60645,2010-02-16,License Re-Inspection,Pass,42.01197987928261,-87.70853385148317
88290,THE BASEMENT,THE BASEMENT,1801694,hooka lounge,Risk 3 (Low),5700 N CLARK ST,CHICAGO,IL,60660,2010-03-12,Complaint,Fail,41.98543836169522,-87.66933050632552
88601,FIRST ZABIHA MEAT BAZAAR,FIRST ZABIHA MEAT BAZAAR,1621918,Grocery Store,Risk 2 (Medium),2907 W DEVON AVE,CHICAGO,IL,60659,2010-11-19,Canvass Re-Inspection,Fail,41.99740137039031,-87.70238538227812
112432,SPORTSERVICE SOLDIER FIELD,PIZZA,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
114497,SPORTSERVICE SOLDIER FIELD,HOT DOG STAND,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
114498,SPORTSERVICE SOLDIER FIELD,GRIDIRON GRILL,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-08,Canvass,Pass,41.862628294037634,-87.61503109411332
114500,SPORTSERVICE SOLDIER FIELD,HOT DOG,1354323,Restaurant,Risk 2 (Medium),1410 S MUSEUM CAMPUS DR,CHICAGO,IL,60605,2010-06-07,Canvass,Pass,41.862628294037634,-87.61503109411332
120317,TOMATO HEAD,TOMATO HEAD,1937125,Restaurant,Risk 1 (High),945 W RANDOLPH ST,CHICAGO,IL,60607,2010-01-15,Complaint,Fail,41.88422707893843,-87.65151813840151
120318,TOMATO HEAD,TOMATO HEAD,1937125,Restaurant,Risk 1 (High),945 W RANDOLPH ST,CHICAGO,IL,60607,2010-01-22,Complaint Re-Inspection,Pass,41.88422707893843,-87.65151813840151
